Month,Merk,Type,Area,Sold,Exp Registration Number,Sales,Congs
Mar,Honda,Jazz,Tanjung Api-Api,9,31/03/24,1080000000,738000000
Apr,Honda,Jazz,Plaju,8,31/03/24,1048000000,712000000
Apr,Toyota,Avanza,Plaju,10,31/03/24,1040000000,830000000
Feb,Mitsubishi,Pajero,Plaju,9,31/03/24,1035000000,810000000
Feb,Toyota,Innova,Tanjung Api-Api,7,28/02/24,980000000,630000000
Jan,Honda,Brio,Plaju,8,31/01/24,968000000,712000000
Mar,Nissan,March,Veteran,7,28/02/24,966000000,560000000
Apr,Nissan,Juke,Tanjung Api-Api,7,31/01/24,966000000,588000000
Feb,Toyota,Land Cruiser,Tanjung Api-Api,8,31/01/24,960000000,664000000
Apr,Suzuki,Swift,Veteran,9,28/02/24,927000000,810000000
Apr,Toyota,Avanza,Tanjung Api-Api,8,31/03/24,920000000,672000000
Mar,Nissan,Juke,Plaju,9,31/01/24,918000000,783000000
Feb,Suzuki,Ertiga,Veteran,7,31/03/24,917000000,630000000
Feb,Suzuki,Ertiga,Plaju,7,31/03/24,882000000,581000000
Apr,Honda,CRV,Veteran,7,28/02/24,868000000,602000000
Mar,Honda,Jazz,Veteran,6,31/03/24,864000000,534000000
Mar,Toyota,Land Cruiser,Veteran,4,31/01/24,864000000,522000000
Jan,Honda,Brio,Tanjung Api-Api,6,31/01/24,858000000,528000000
Apr,Mitsubishi,Xpander,Tanjung Api-Api,7,31/01/24,854000000,567000000
Apr,Honda,Jazz,Veteran,6,31/03/24,840000000,486000000
Mar,Suzuki,Swift,Veteran,6,28/02/24,834000000,534000000
Apr,Toyota,Avanza,Tanjung Api-Api,6,31/03/24,834000000,510000000
Feb,Honda,Brio,Veteran,8,31/01/24,832000000,664000000
Apr,Mitsubishi,Xpander,Tanjung Api-Api,6,31/01/24,828000000,522000000
Apr,Nissan,Juke,Veteran,6,31/01/24,798000000,510000000
Jan,Honda,Brio,Veteran,6,31/01/24,798000000,504000000
Apr,Nissan,Juke,Veteran,6,31/01/24,786000000,528000000
Mar,Suzuki,Ertiga,Tanjung Api-Api,6,31/03/24,780000000,498000000
Apr,Honda,CRV,Veteran,7,28/02/24,777000000,609000000
Jan,Honda,Brio,Plaju,6,31/01/24,774000000,522000000
Mar,Honda,Jazz,Plaju,6,31/03/24,750000000,510000000
Mar,Suzuki,Swift,Plaju,5,28/02/24,745000000,425000000
Jan,Honda,CRV,Tanjung Api-Api,6,28/02/24,744000000,498000000
Mar,Nissan,March,Plaju,6,28/02/24,744000000,486000000
Mar,Nissan,March,Plaju,7,28/02/24,742000000,602000000
Jan,Mitsubishi,Xpander,Veteran,6,31/01/24,732000000,510000000
Feb,Mitsubishi,Pajero,Veteran,5,31/03/24,730000000,435000000
Jan,Toyota,Avanza,Tanjung Api-Api,5,31/03/24,730000000,450000000
Jan,Toyota,Avanza,Plaju,5,31/03/24,730000000,435000000
Mar,Suzuki,Ertiga,Veteran,7,31/03/24,721000000,623000000
Mar,Suzuki,Swift,Tanjung Api-Api,6,28/02/24,720000000,504000000
Feb,Honda,Brio,Tanjung Api-Api,5,31/01/24,720000000,440000000
Feb,Mitsubishi,Pajero,Veteran,5,31/03/24,715000000,410000000
Jan,Mitsubishi,Xpander,Tanjung Api-Api,6,31/01/24,714000000,522000000
Apr,Honda,CRV,Plaju,6,28/02/24,714000000,498000000
Mar,Nissan,March,Veteran,6,28/02/24,708000000,540000000
Feb,Mitsubishi,Pajero,Plaju,6,31/03/24,696000000,528000000
Mar,Toyota,Land Cruiser,Plaju,5,31/01/24,685000000,440000000
Feb,Toyota,Innova,Veteran,6,28/02/24,678000000,516000000
Jan,Toyota,Innova,Tanjung Api-Api,6,28/02/24,672000000,492000000
Apr,Honda,Jazz,Veteran,5,31/03/24,655000000,450000000
Apr,Honda,CRV,Plaju,5,28/02/24,655000000,415000000
Jan,Toyota,Avanza,Veteran,6,31/03/24,654000000,504000000
Apr,Nissan,Juke,Plaju,6,31/01/24,606000000,504000000
Mar,Suzuki,Swift,Veteran,5,28/02/24,585000000,450000000
Apr,Honda,Jazz,Plaju,5,31/03/24,540000000,430000000
Jan,Mitsubishi,Xpander,Plaju,5,31/01/24,540000000,450000000
Feb,Nissan,March,Tanjung Api-Api,5,28/02/24,510000000,430000000
